Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
melbourne_botanical_gardens,2015,6,14,0.0
melbourne_botanical_gardens,2015,6,15,0.0
melbourne_botanical_gardens,2015,6,16,4.8
melbourne_botanical_gardens,2015,6,17,0.0
melbourne_botanical_gardens,2015,6,18,1.2
melbourne_botanical_gardens,2015,6,19,0.0
melbourne_botanical_gardens,2015,6,20,0.0
melbourne_botanical_gardens,2015,6,21,0.0
melbourne_botanical_gardens,2015,6,22,0.2
melbourne_botanical_gardens,2015,6,23,0.0
melbourne_botanical_gardens,2015,6,24,0.0
melbourne_botanical_gardens,2015,6,25,0.0
melbourne_botanical_gardens,2015,6,26,0.0
melbourne_botanical_gardens,2015,6,27,0.0
melbourne_botanical_gardens,2015,6,28,0.0
melbourne_botanical_gardens,2015,6,29,0.0
melbourne_botanical_gardens,2015,6,30,0.0
melbourne_botanical_gardens,2015,7,1,0.0
melbourne_botanical_gardens,2015,7,2,0.8
melbourne_botanical_gardens,2015,7,3,4.2
melbourne_botanical_gardens,2015,7,4,1.6
melbourne_botanical_gardens,2015,7,5,0.0
melbourne_botanical_gardens,2015,7,6,2.6
melbourne_botanical_gardens,2015,7,7,0.0
melbourne_botanical_gardens,2015,7,8,0.0
melbourne_botanical_gardens,2015,7,9,0.0
melbourne_botanical_gardens,2015,7,10,0.0
melbourne_botanical_gardens,2015,7,11,0.6
melbourne_botanical_gardens,2015,7,12,4.2
melbourne_botanical_gardens,2015,7,13,29.6
melbourne_botanical_gardens,2015,7,14,4.4
melbourne_botanical_gardens,2015,7,15,4.4
melbourne_botanical_gardens,2015,7,16,0.2
melbourne_botanical_gardens,2015,7,17,2.6
melbourne_botanical_gardens,2015,7,18,0.8
melbourne_botanical_gardens,2015,7,19,0.0
melbourne_botanical_gardens,2015,7,20,0.0
melbourne_botanical_gardens,2015,7,21,0.0
melbourne_botanical_gardens,2015,7,22,1.8
melbourne_botanical_gardens,2015,7,23,0.0
melbourne_botanical_gardens,2015,7,24,0.0
melbourne_botanical_gardens,2015,7,25,2.6
melbourne_botanical_gardens,2015,7,26,3.6
